"","城市","2004白血病女","2004非何杰金氏淋巴瘤女","2004肺、支氣管及氣管癌女","2004肝和肝內膽管癌女","2004結腸癌女","2004口腔、口咽及下咽癌女","2004女性乳房癌女","2004攝護腺癌女","2004食道癌女","2004胃癌女","2004胰臟癌女","2004直腸和肛門癌女","2004子宮頸癌女","2005白血病女","2005非何杰金氏淋巴瘤女","2005肺、支氣管及氣管癌女","2005肝和肝內膽管癌女","2005結腸癌女","2005口腔、口咽及下咽癌女","2005女性乳房癌女","2005攝護腺癌女","2005食道癌女","2005胃癌女","2005胰臟癌女","2005直腸和肛門癌女","2005子宮頸癌女","2006白血病女","2006非何杰金氏淋巴瘤女","2006肺、支氣管及氣管癌女","2006肝和肝內膽管癌女","2006結腸癌女","2006口腔、口咽及下咽癌女","2006女性乳房癌女","2006攝護腺癌女","2006食道癌女","2006胃癌女","2006胰臟癌女","2006直腸和肛門癌女","2006子宮頸癌女","2007白血病女","2007非何杰金氏淋巴瘤女","2007肺、支氣管及氣管癌女","2007肝和肝內膽管癌女","2007結腸癌女","2007口腔、口咽及下咽癌女","2007女性乳房癌女","2007攝護腺癌女","2007食道癌女","2007胃癌女","2007胰臟癌女","2007直腸和肛門癌女","2007子宮頸癌女","2008白血病女","2008非何杰金氏淋巴瘤女","2008肺、支氣管及氣管癌女","2008肝和肝內膽管癌女","2008結腸癌女","2008口腔、口咽及下咽癌女","2008女性乳房癌女","2008攝護腺癌女","2008食道癌女","2008胃癌女","2008胰臟癌女","2008直腸和肛門癌女","2008子宮頸癌女","2009白血病女","2009非何杰金氏淋巴瘤女","2009肺、支氣管及氣管癌女","2009肝和肝內膽管癌女","2009結腸癌女","2009口腔、口咽及下咽癌女","2009女性乳房癌女","2009攝護腺癌女","2009食道癌女","2009胃癌女","2009胰臟癌女","2009直腸和肛門癌女","2009子宮頸癌女","2010白血病女","2010非何杰金氏淋巴瘤女","2010肺、支氣管及氣管癌女","2010肝和肝內膽管癌女","2010結腸癌女","2010口腔、口咽及下咽癌女","2010女性乳房癌女","2010攝護腺癌女","2010食道癌女","2010胃癌女","2010胰臟癌女","2010直腸和肛門癌女","2010子宮頸癌女","2011白血病女","2011非何杰金氏淋巴瘤女","2011肺、支氣管及氣管癌女","2011肝和肝內膽管癌女","2011結腸癌女","2011口腔、口咽及下咽癌女","2011女性乳房癌女","2011攝護腺癌女","2011食道癌女","2011胃癌女","2011胰臟癌女","2011直腸和肛門癌女","2011子宮頸癌女","2012白血病女","2012非何杰金氏淋巴瘤女","2012肺、支氣管及氣管癌女","2012肝和肝內膽管癌女","2012結腸癌女","2012口腔、口咽及下咽癌女","2012女性乳房癌女","2012攝護腺癌女","2012食道癌女","2012胃癌女","2012胰臟癌女","2012直腸和肛門癌女","2012子宮頸癌女","2013白血病女","2013非何杰金氏淋巴瘤女","2013肺、支氣管及氣管癌女","2013肝和肝內膽管癌女","2013結腸癌女","2013口腔、口咽及下咽癌女","2013女性乳房癌女","2013攝護腺癌女","2013食道癌女","2013胃癌女","2013胰臟癌女","2013直腸和肛門癌女","2013子宮頸癌女","2014白血病女","2014非何杰金氏淋巴瘤女","2014肺、支氣管及氣管癌女","2014肝和肝內膽管癌女","2014結腸癌女","2014口腔、口咽及下咽癌女","2014女性乳房癌女","2014攝護腺癌女","2014食道癌女","2014胃癌女","2014胰臟癌女","2014直腸和肛門癌女","2014子宮頸癌女"
"1","嘉義市東區","5,413.00","157,223.33","75,637.68","38,848.81","64,030.49","68,967.00","50,680.86","#DIV/0!","2,624.00","58,231.87","337,928.50","","20,607.81","137,192.00","139,104.60","102,496.65","61,955.06","77,270.03","36,765.33","66,185.13","#DIV/0!","1,658.00","40,035.30","124,146.00","","52,590.36","151,336.75","28,614.00","143,756.86","54,019.09","67,630.15","25,651.80","79,600.35","#DIV/0!","10,575.00","59,767.05","21,600.00","","31,996.38","134,714.40","141,256.33","152,567.55","50,511.34","68,405.96","3,439.00","85,430.27","#DIV/0!","0","34,305.89","389,229.50","","40,458.83","215,851.75","193,892.85","172,999.73","38,540.88","","3,400.75","69,172.24","#DIV/0!","5,302.00","52,916.24","168,741.20","69,147.86","38,439.04","26,627.17","79,573.15","136,882.55","74,198.74","","63,471.25","72,238.92","#DIV/0!","20,092.50","42,561.54","100,773.30","84,009.31","25,357.90","56,822.60","95,508.21","129,442.62","66,034.67","","143,646.50","72,172.06","#DIV/0!","61,370.50","100,158.10","130,562.27","64,259.16","22,306.64","340,632.75","117,027.57","187,550.58","74,366.93","","207,488.33","87,958.73","#DIV/0!","30,440.50","85,332.75","153,674.40","51,326.00","28,199.86","364,452.00","110,588.75","251,142.28","70,495.25","","92,234.67","99,094.89","#DIV/0!","0","52,063.65","73,416.17","59,996.66","19,469.94","249,418.67","227,798.04","208,222.48","113,314.20","","102,577.86","82,314.21","#DIV/0!","2,472.00","38,398.29","88,190.78","59,786.49","16,906.86","367,711.73","172,354.54","193,367.46","87,248.54","","27,751.43","60,938.81","#DIV/0!","325,301.00","36,540.17","122,029.25","72,573.56","21,829.63"
"2","嘉義市西區","248,795.00","108,062.00","73,757.85","43,007.25","69,082.05","97,802.80","70,913.09","#DIV/0!","1,402.00","62,962.39","80,041.00","","28,577.80","182,666.00","161,666.57","85,845.25","49,748.91","58,029.15","121,021.80","49,727.11","#DIV/0!","176,711.00","39,932.78","117,029.50","","60,763.95","252,225.71","72,900.07","83,953.73","47,399.05","50,013.06","22,932.80","80,762.80","#DIV/0!","1,872.00","73,444.71","50,417.20","","31,418.84","238,327.00","10,546.08","141,626.96","48,726.15","62,743.52","80,195.86","88,806.06","#DIV/0!","#DIV/0!","23,047.50","44,473.43","","47,751.45","21,998.00","102,119.69","163,612.21","41,940.61","","38,624.17","83,713.00","#DIV/0!","49,457.67","34,356.95","69,097.64","65,928.14","31,754.72","7,855.00","30,760.20","130,441.44","54,154.70","","25,705.00","65,185.31","#DIV/0!","103,285.67","27,335.58","138,375.63","51,177.57","17,581.77","8,530.00","122,482.72","157,450.16","56,940.21","","33,946.50","61,968.31","#DIV/0!","43,498.50","45,974.57","179,772.20","46,943.96","46,167.29","45,260.33","56,434.05","103,084.83","61,458.88","","52,994.14","48,381.43","#DIV/0!","0","42,968.81","57,933.50","40,446.21","19,864.47","6,144.67","130,345.06","138,947.90","56,041.29","","23,630.50","68,150.00","#DIV/0!","0","56,498.80","193,792.63","33,349.16","10,115.69","245,224.67","133,377.52","167,335.49","71,651.61","","105,958.11","66,258.02","#DIV/0!","0","84,852.78","199,102.82","48,716.81","9,751.77","251,391.67","149,252.28","202,307.92","55,067.45","","43,073.40","78,217.59","#DIV/0!","828","106,328.03","124,866.91","56,389.27","21,971.54"
"3","嘉義縣阿里山鄉","#DIV/0!","#DIV/0!","44,951.63","104,557.50","113,323.50","#DIV/0!","6,015.00","#DIV/0!","#DIV/0!","3,276.00","#DIV/0!","","5,058.00","0","91,045.50","85,260.00","67,058.92","39,937.50","536,531.00","#DIV/0!","#DIV/0!","#DIV/0!","5,569.00","452,227.00","","3,892.00","0","#DIV/0!","5,512.86","44,535.50","122,200.60","233,804.50","2,888.00","#DIV/0!","#DIV/0!","121,575.00","#DIV/0!","","3,300.00","#DIV/0!","12,863.00","53,315.00","34,660.40","84,593.80","#DIV/0!","2,888.00","#DIV/0!","#DIV/0!","162,499.50","#DIV/0!","","2,230.00","#DIV/0!","#DIV/0!","340","85,885.43","","#DIV/0!","44,343.00","#DIV/0!","#DIV/0!","1,999.00","16,363.00","59,245.00","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","63,965.50","","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","#DIV/0!","8,579.20","540","727","#DIV/0!","536","28,816.86","","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","#DIV/0!","35,198.75","0","#DIV/0!","#DIV/0!","259","22,808.67","","#DIV/0!","152,834.00","#DIV/0!","#DIV/0!","118,372.50","0","40,108.20","267","#DIV/0!","386,683.00","369,207.00","204,225.00","","#DIV/0!","221,930.00","#DIV/0!","#DIV/0!","0","#DIV/0!","213.33","1,096.00","0","419,336.00","90,991.67","105,519.00","","#DIV/0!","10,565.50","#DIV/0!","#DIV/0!","370,568.00","#DIV/0!","43,975.00","#DIV/0!","0","54,255.00","207,507.25","81,900.78","","531,454.00","2,757.00","#DIV/0!","#DIV/0!","94,639.00","#DIV/0!","235,480.13","#DIV/0!"
"4","嘉義縣布袋鎮","#DIV/0!","32,087.33","71,520.36","21,790.74","75,114.23","111,197.75","29,162.40","#DIV/0!","1,393.50","70,409.11","0","","8,054.56","5,529.00","130,637.00","105,001.79","16,258.54","38,187.15","69,337.60","71,954.67","#DIV/0!","9,665.00","12,285.90","0","","65,242.55","15,571.00","3,502.00","66,442.13","31,230.45","27,010.49","49,708.17","51,654.08","#DIV/0!","#DIV/0!","28,649.67","16,551.20","","45,399.00","5,905.00","91,651.00","45,030.38","22,574.57","52,566.23","48,467.83","98,658.31","#DIV/0!","389,392.00","46,911.67","51,292.57","","37,700.25","123,954.67","163,077.00","122,596.75","33,032.79","","27,348.00","82,327.00","#DIV/0!","7,435.00","283,747.33","32,752.00","34,407.00","6,022.18","381,371.00","103,275.50","238,968.08","34,623.71","","20,225.60","43,858.00","#DIV/0!","989","175,214.17","213,269.67","62,546.92","4,263.89","387,898.00","11,038.50","163,186.83","43,750.78","","16,174.83","17,972.82","#DIV/0!","221,577.00","240,976.86","54,519.67","55,891.44","53,079.60","#DIV/0!","194,553.50","125,139.48","44,338.97","","9,658.33","29,896.27","#DIV/0!","106,848.00","215,902.80","6,054.33","46,639.61","42,647.73","#DIV/0!","40,440.00","113,273.54","47,099.89","","4,977.00","66,059.55","#DIV/0!","#DIV/0!","128,472.25","44,385.25","42,372.63","92,874.36","243,058.00","73,942.56","200,663.06","44,785.03","","59,253.00","33,818.63","#DIV/0!","42,234.00","100,040.75","74,778.67","42,860.31","27,106.23","288,127.67","87,545.20","165,797.08","29,174.94","","9,910.75","58,698.07","#DIV/0!","#DIV/0!","17,657.20","46,786.55","25,084.90","56,531.64"
"5","嘉義縣大埔鄉","#DIV/0!","#DIV/0!","#DIV/0!","46,569.67","#DIV/0!","#DIV/0!","23,170.67","#DIV/0!","#DIV/0!","7,672.00","687,005.00","","4,516.50","#DIV/0!","#DIV/0!","#DIV/0!","5,274.33","147,544.00","79,584.00","6,509.00","#DIV/0!","#DIV/0!","1,318,381.00","#DIV/0!","","5,058.67","#DIV/0!","#DIV/0!","#DIV/0!","149,486.50","24,856.00","#DIV/0!","6,974.50","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","","3,637.00","#DIV/0!","#DIV/0!","420","17,763.33","2,820.33","#DIV/0!","30,525.50","#DIV/0!","#DIV/0!","0","#DIV/0!","","10,233.00","#DIV/0!","#DIV/0!","#DIV/0!","26,862.50","","#DIV/0!","4,656.50","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","82,951.75","4,736.50","#DIV/0!","#DIV/0!","#DIV/0!","84,522.00","","874","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","137,987.00","7,991.33","622","#DIV/0!","#DIV/0!","#DIV/0!","70,553.80","","4,532.00","39,125.00","#DIV/0!","#DIV/0!","#DIV/0!","0","6,329.00","60,372.50","#DIV/0!","#DIV/0!","#DIV/0!","53,995.67","","#DIV/0!","31,269.00","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","5,140.00","63,243.67","#DIV/0!","#DIV/0!","255,807.50","27,249.50","","#DIV/0!","30,169.33","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","162,248.75","15,167.33","#DIV/0!","#DIV/0!","229,227.00","64,957.60","","#DIV/0!","10,469.33","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","41,318.67","3,483.67","#DIV/0!","#DIV/0!","47,612.67","42,816.17","","#DIV/0!","8,182.00","#DIV/0!","#DIV/0!","#DIV/0!","30,707.00","25,156.40","3,300.50"
"6","嘉義縣大林鎮","66,856.00","64,847.40","105,615.69","24,239.90","82,422.88","1,348.00","27,099.60","#DIV/0!","3,744.50","28,820.00","#DIV/0!","","21,446.10","167,021.00","9,362.33","216,002.39","31,168.21","61,549.69","34,219.00","35,479.81","#DIV/0!","1,907.00","2,403.00","796","","36,427.43","124,686.00","40,936.67","142,092.29","70,240.70","64,317.71","8,641.50","31,609.58","#DIV/0!","#DIV/0!","59,161.00","3,776.00","","27,732.50","251,775.00","31,611.17","90,231.85","42,259.32","58,386.24","10,964.00","37,376.62","#DIV/0!","211,983.00","29,502.40","239,149.67","","31,214.53","248,072.00","103,322.40","109,423.05","55,454.72","","#DIV/0!","63,045.44","#DIV/0!","74,884.50","5,789.33","75,023.00","47,027.47","21,359.59","97,831.60","23,593.25","117,437.55","42,571.82","","149,245.25","56,296.31","#DIV/0!","#DIV/0!","116,289.50","6,378.00","57,934.20","5,991.93","95,962.67","158,931.00","109,269.43","60,900.97","","72,276.67","75,335.44","#DIV/0!","#DIV/0!","23,321.00","146,255.00","45,228.26","6,632.79","367,526.50","3,268.67","99,833.68","50,285.39","","35,608.00","54,557.03","#DIV/0!","0","10,467.50","260,711.00","32,342.52","34,585.88","438,797.25","14,489.00","143,230.17","57,723.52","","100,515.00","85,971.35","#DIV/0!","540","7,409.50","0","43,315.84","71,005.64","282,715.00","113,794.17","135,881.22","48,146.24","","149,120.25","113,955.98","#DIV/0!","0","60,930.00","69,925.00","58,595.43","25,224.00","435,621.71","357,159.83","153,385.59","66,296.85","","318,157.75","44,626.90","#DIV/0!","#DIV/0!","108,273.56","876,105.00","67,053.21","18,536.25"
"7","嘉義縣東石鄉","581,992.00","20,346.25","68,911.58","65,094.10","93,161.87","1,718.75","33,076.20","#DIV/0!","134,869.00","10,525.70","7,804.20","","26,949.74","93,976.00","266,162.00","109,941.35","47,467.77","42,865.66","5,921.33","13,547.70","#DIV/0!","1,803.00","89,647.56","32,073.13","","6,691.85","82,101.50","51,562.75","77,592.40","75,097.27","48,833.29","36,299.60","43,765.78","#DIV/0!","106.5","37,032.69","40,682.83","","35,355.15","0","50,714.67","89,599.00","33,093.45","34,812.45","88,319.00","38,770.18","#DIV/0!","#DIV/0!","38,018.54","52,895.43","","12,748.18","67,108.00","101,807.17","127,931.52","44,360.14","","52,624.00","51,070.93","#DIV/0!","#DIV/0!","56,356.70","29,744.00","37,689.33","28,890.62","111,712.00","191,956.73","135,920.12","51,952.43","","18,907.25","102,783.85","#DIV/0!","#DIV/0!","81,510.82","48,027.50","59,700.93","13,994.43","21,701.00","45,816.00","116,637.19","60,169.24","","41,443.83","59,297.94","#DIV/0!","#DIV/0!","61,839.00","41,479.50","51,078.85","45,614.33","49,616.75","431,668.00","132,858.70","27,689.82","","17,855.67","46,190.95","#DIV/0!","#DIV/0!","9,425.43","1,078.00","38,011.05","28,773.38","57,975.25","173,692.67","138,203.00","31,130.61","","129,447.29","28,452.11","#DIV/0!","#DIV/0!","20,523.14","134,228.50","42,582.44","6,461.87","71,764.00","133,443.33","112,596.04","65,032.74","","100,241.44","34,582.76","#DIV/0!","#DIV/0!","31,189.63","173,558.00","72,769.18","17,253.79","102,827.00","131,218.17","81,095.85","42,576.63","","57,310.86","94,680.86","#DIV/0!","#DIV/0!","41,807.11","133,896.33","62,882.34","5,561.53"
"8","嘉義縣番路鄉","7,477.00","401,375.50","87,773.33","111,804.33","84,043.00","#DIV/0!","37,494.25","#DIV/0!","#DIV/0!","#DIV/0!","10,222.00","","28,784.00","1,390.50","#DIV/0!","53,671.83","54,162.90","87,879.14","133,999.50","33,562.50","#DIV/0!","#DIV/0!","182,647.00","#DIV/0!","","8,239.57","#DIV/0!","136,409.00","105,955.50","61,682.67","61,351.00","388,496.50","78,465.00","#DIV/0!","0","#DIV/0!","#DIV/0!","","15,584.00","90,793.50","52,532.50","95,003.83","4,014.17","78,264.70","54,023.00","30,819.17","#DIV/0!","#DIV/0!","14,462.00","1,102.00","","6,539.00","52,489.00","909,155.00","39,103.67","91,855.83","","#DIV/0!","36,921.17","#DIV/0!","#DIV/0!","38,079.33","#DIV/0!","30,410.50","4,626.20","#DIV/0!","#DIV/0!","84,609.33","81,411.75","","#DIV/0!","47,202.50","#DIV/0!","#DIV/0!","0","#DIV/0!","35,238.18","4,674.60","#DIV/0!","48,846.00","266,764.50","32,075.44","","#DIV/0!","51,995.00","#DIV/0!","#DIV/0!","0","#DIV/0!","28,908.63","5,936.00","#DIV/0!","181,250.50","233,435.00","10,385.20","","0","48,129.00","#DIV/0!","#DIV/0!","194,477.00","#DIV/0!","37,597.30","9,404.71","#DIV/0!","82,002.00","59,408.33","31,909.14","","656.5","41,034.80","#DIV/0!","#DIV/0!","103,354.50","#DIV/0!","22,529.17","3,905.17","#DIV/0!","145,154.00","184,314.43","156,641.63","","189,271.00","25,366.17","#DIV/0!","#DIV/0!","116,294.00","435,879.00","16,807.09","0","57,525.00","97,165.40","218,527.00","51,458.82","","23,836.00","136,458.14","#DIV/0!","#DIV/0!","195,906.00","#DIV/0!","7,480.08","56,327.75"
"9","嘉義縣六腳鄉","#DIV/0!","20,667.14","80,330.33","16,233.69","66,733.38","1,295.00","109,332.71","#DIV/0!","0","92,374.36","182,920.33","","17,911.37","#DIV/0!","51,619.33","102,140.65","21,573.61","63,521.67","17,560.40","117,087.78","#DIV/0!","0","41,842.08","1,235.33","","33,407.50","85,551.00","28,784.50","114,001.71","33,363.91","60,363.78","71,819.00","42,329.00","#DIV/0!","1,499.00","64,530.45","11,423.00","","21,809.30","238,749.33","78,211.67","111,912.44","62,223.33","62,120.65","18,394.17","198,554.00","#DIV/0!","1,713.00","68,834.25","66,068.00","","48,980.92","19,922.50","22,922.80","129,407.11","60,219.89","","5,177.50","149,954.40","#DIV/0!","20,784.00","29,204.27","82,325.00","60,582.34","37,880.26","293,909.00","22,640.67","148,975.50","42,871.95","","6,239.80","65,000.50","#DIV/0!","18,464.00","54,866.69","3,807.67","71,949.84","31,850.24","91,329.25","3,059.60","186,402.93","71,150.66","","7,705.25","81,229.13","#DIV/0!","1,668.50","47,510.13","147,835.75","50,586.73","117,607.14","46,793.00","25,629.67","186,705.05","29,518.06","","6,844.00","39,024.50","#DIV/0!","0","46,024.07","#DIV/0!","27,047.23","40,180.85","443,550.33","238,763.00","143,074.37","36,116.27","","5,276.00","55,294.37","#DIV/0!","6,770.50","32,850.12","200,780.00","24,954.79","9,672.82","304,772.57","81,697.40","132,255.85","57,694.54","","27,546.57","33,353.26","#DIV/0!","2,218.00","51,505.90","66,952.80","57,018.41","41,662.43","521,928.25","125,773.50","98,495.73","58,971.96","","105,593.17","59,374.39","#DIV/0!","0","85,940.45","11,227.00","55,044.10","12,257.18"
"10","嘉義縣鹿草鄉","154,521.00","29,283.14","31,601.56","36,036.32","64,549.46","19,198.00","37,478.67","#DIV/0!","0","80,739.50","77,206.00","","11,983.79","4,273.00","45,098.33","48,630.61","56,960.38","55,526.12","2,589.00","43,827.67","#DIV/0!","#DIV/0!","140,514.67","127,339.50","","56,278.79","17,754.00","126,237.00","91,244.79","21,793.15","59,922.37","125,716.67","68,284.50","#DIV/0!","#DIV/0!","19,450.25","0","","36,543.71","15,884.00","52,901.00","159,126.30","54,898.89","38,945.67","108,586.00","32,185.38","#DIV/0!","#DIV/0!","51,928.80","342,958.00","","43,098.94","16,124.00","25,010.00","137,150.75","24,368.45","","#DIV/0!","39,391.43","#DIV/0!","17,112.00","45,576.75","114,674.33","67,746.67","9,356.55","16,553.00","277,630.50","168,278.94","117,579.06","","#DIV/0!","54,739.40","#DIV/0!","#DIV/0!","4,904.33","590.67","49,557.96","38,922.71","10,586.00","203,263.33","180,704.56","32,300.06","","0","84,246.31","#DIV/0!","134,341.00","9,834.67","106,082.33","60,274.34","48,123.68","11,738.50","192,701.00","170,033.00","18,682.05","","0","38,391.50","#DIV/0!","#DIV/0!","36,425.60","0","41,252.97","58,775.69","84,585.67","16,362.00","174,939.80","30,656.28","","63,876.00","116,730.65","#DIV/0!","#DIV/0!","2,395.25","0","35,056.28","11,202.20","75,658.00","39,278.00","183,810.00","19,645.72","","140,463.00","82,267.72","#DIV/0!","#DIV/0!","87,631.00","0","59,280.05","8,187.70","221,693.00","58,745.00","182,351.44","17,541.32","","36,141.00","88,071.12","#DIV/0!","#DIV/0!","7,463.33","19,166.00","49,909.72","9,910.50"
"11","嘉義縣梅山鄉","53,040.00","148,409.00","72,592.57","60,678.33","134,042.85","#DIV/0!","14,711.60","#DIV/0!","0","3,673.20","0","","28,554.42","#DIV/0!","79,761.33","51,834.67","90,760.67","99,397.16","#DIV/0!","20,263.33","#DIV/0!","4,039.00","4,226.33","70,545.00","","26,061.53","0","118,557.50","20,998.10","28,517.15","35,700.94","40,115.00","24,905.38","#DIV/0!","#DIV/0!","2,875.60","#DIV/0!","","52,584.28","#DIV/0!","169,242.00","103,256.00","26,342.27","40,049.21","48,150.00","57,515.11","#DIV/0!","#DIV/0!","13,184.00","61,707.33","","47,605.25","#DIV/0!","67,445.00","181,843.00","87,455.50","","713,244.00","46,664.11","#DIV/0!","0","98,908.50","165,499.50","80,090.19","18,870.19","#DIV/0!","62,186.33","132,029.00","48,020.09","","35,600.00","54,537.33","#DIV/0!","#DIV/0!","10,077.67","35,107.00","57,373.91","6,783.38","0","33,757.67","115,643.08","125,694.33","","43,936.50","62,124.25","#DIV/0!","#DIV/0!","10,551.00","205,486.00","57,191.42","33,607.08","403,237.00","90,486.00","6,266.10","37,009.44","","7,879.50","72,450.06","#DIV/0!","#DIV/0!","9,510.00","0","62,818.56","19,347.33","237,497.00","259,141.50","34,944.77","61,890.22","","21,566.00","67,175.23","#DIV/0!","#DIV/0!","89,144.67","0","36,348.17","27,052.40","88,037.00","307,766.67","85,141.85","48,866.54","","23,303.00","74,491.92","#DIV/0!","#DIV/0!","12,221.00","0","50,708.05","7,614.08","79,710.75","224,401.00","205,824.10","83,798.88","","14,380.00","39,046.72","#DIV/0!","29,560.00","113,509.43","81,491.00","25,720.74","8,151.89"
