"","城市","2004白血病","2004非何杰金氏淋巴瘤","2004肺、支氣管及氣管癌","2004肝和肝內膽管癌","2004結腸癌","2004口腔、口咽及下咽癌","2004女性乳房癌","2004攝護腺癌","2004食道癌","2004胃癌","2004胰臟癌","2004直腸和肛門癌","2004子宮頸癌","2005白血病","2005非何杰金氏淋巴瘤","2005肺、支氣管及氣管癌","2005肝和肝內膽管癌","2005結腸癌","2005口腔、口咽及下咽癌","2005女性乳房癌","2005攝護腺癌","2005食道癌","2005胃癌","2005胰臟癌","2005直腸和肛門癌","2005子宮頸癌","2006白血病","2006非何杰金氏淋巴瘤","2006肺、支氣管及氣管癌","2006肝和肝內膽管癌","2006結腸癌","2006口腔、口咽及下咽癌","2006女性乳房癌","2006攝護腺癌","2006食道癌","2006胃癌","2006胰臟癌","2006直腸和肛門癌","2006子宮頸癌","2007白血病","2007非何杰金氏淋巴瘤","2007肺、支氣管及氣管癌","2007肝和肝內膽管癌","2007結腸癌","2007口腔、口咽及下咽癌","2007女性乳房癌","2007攝護腺癌","2007食道癌","2007胃癌","2007胰臟癌","2007直腸和肛門癌","2007子宮頸癌","2008白血病","2008非何杰金氏淋巴瘤","2008肺、支氣管及氣管癌","2008肝和肝內膽管癌","2008結腸癌","2008口腔、口咽及下咽癌","2008女性乳房癌","2008攝護腺癌","2008食道癌","2008胃癌","2008胰臟癌","2008直腸和肛門癌","2008子宮頸癌","2009白血病","2009非何杰金氏淋巴瘤","2009肺、支氣管及氣管癌","2009肝和肝內膽管癌","2009結腸癌","2009口腔、口咽及下咽癌","2009女性乳房癌","2009攝護腺癌","2009食道癌","2009胃癌","2009胰臟癌","2009直腸和肛門癌","2009子宮頸癌","2010白血病","2010非何杰金氏淋巴瘤","2010肺、支氣管及氣管癌","2010肝和肝內膽管癌","2010結腸癌","2010口腔、口咽及下咽癌","2010女性乳房癌","2010攝護腺癌","2010食道癌","2010胃癌","2010胰臟癌","2010直腸和肛門癌","2010子宮頸癌","2011白血病","2011非何杰金氏淋巴瘤","2011肺、支氣管及氣管癌","2011肝和肝內膽管癌","2011結腸癌","2011口腔、口咽及下咽癌","2011女性乳房癌","2011攝護腺癌","2011食道癌","2011胃癌","2011胰臟癌","2011直腸和肛門癌","2011子宮頸癌","2012白血病","2012非何杰金氏淋巴瘤","2012肺、支氣管及氣管癌","2012肝和肝內膽管癌","2012結腸癌","2012口腔、口咽及下咽癌","2012女性乳房癌","2012攝護腺癌","2012食道癌","2012胃癌","2012胰臟癌","2012直腸和肛門癌","2012子宮頸癌","2013白血病","2013非何杰金氏淋巴瘤","2013肺、支氣管及氣管癌","2013肝和肝內膽管癌","2013結腸癌","2013口腔、口咽及下咽癌","2013女性乳房癌","2013攝護腺癌","2013食道癌","2013胃癌","2013胰臟癌","2013直腸和肛門癌","2013子宮頸癌","2014白血病","2014非何杰金氏淋巴瘤","2014肺、支氣管及氣管癌","2014肝和肝內膽管癌","2014結腸癌","2014口腔、口咽及下咽癌","2014女性乳房癌","2014攝護腺癌","2014食道癌","2014胃癌","2014胰臟癌","2014直腸和肛門癌","2014子宮頸癌"
"1","嘉義市東區","42,264.60","111,022.28","91,053.27","50,460.52","58,678.77","45,747.15","50,680.86","48,771.40","187,124.45","68,355.57","210,955.00","","20,607.81","145,596.43","158,146.65","100,944.33","56,887.55","60,500.22","164,408.91","66,185.13","63,169.78","44,492.92","74,663.22","137,820.43","","52,590.36","128,890.50","60,468.67","129,254.23","47,869.50","59,777.60","52,225.30","79,600.35","79,853.26","162,394.44","96,987.14","141,051.80","","31,996.38","191,075.53","180,350.32","124,922.80","55,552.59","65,567.01","100,736.44","85,430.27","86,129.77","75,978.30","65,893.83","201,573.70","","40,458.83","98,868.31","183,180.35","134,643.72","58,974.52","","105,755.67","69,172.24","76,225.61","113,063.25","71,825.30","136,827.50","61,945.76","38,439.04","53,666.53","88,900.65","144,489.23","71,633.66","","135,364.11","72,238.92","56,864.05","86,082.27","74,349.20","69,854.16","80,960.01","25,357.90","108,453.60","136,135.08","144,367.25","61,333.66","","131,649.18","72,172.06","45,281.89","57,439.91","99,662.10","95,498.36","74,315.52","22,306.64","246,535.44","81,386.31","131,960.73","65,112.45","","108,681.81","87,958.73","52,053.39","70,649.14","79,593.83","66,145.42","52,524.25","28,199.86","324,597.08","97,529.29","192,136.30","78,780.40","","62,069.85","99,094.89","50,924.90","52,101.33","57,210.11","53,337.54","65,489.68","19,469.94","278,183.69","203,625.28","181,034.99","114,080.51","","113,212.39","82,314.21","48,694.91","30,380.60","71,240.61","77,603.20","68,060.26","16,906.86","307,398.55","132,925.16","154,686.87","100,064.22","","80,205.16","60,938.81","55,324.47","98,990.56","51,902.69","110,150.19","66,298.41","21,829.63"
"2","嘉義市西區","209,256.78","156,559.56","66,512.01","55,716.45","69,644.55","112,330.89","70,913.09","78,089.36","74,720.00","60,235.13","77,381.50","","28,577.80","155,430.77","170,383.87","95,581.30","61,448.35","58,517.34","133,196.70","49,727.11","89,881.42","156,811.62","47,928.25","90,728.67","","60,763.95","136,701.07","64,026.00","107,415.84","52,168.32","58,762.78","80,465.25","80,762.80","85,997.23","86,031.18","66,102.66","23,284.05","","31,418.84","135,521.50","37,503.20","116,558.93","63,903.73","64,176.09","104,915.46","88,806.06","64,206.18","80,570.08","55,110.22","76,673.93","","47,751.45","76,499.27","171,182.04","152,671.27","52,762.65","","119,580.55","83,713.00","66,121.23","68,356.47","47,575.26","95,029.43","63,151.68","31,754.72","15,072.20","114,646.28","98,811.37","58,910.37","","142,799.68","65,185.31","66,481.91","166,851.00","33,427.59","117,633.43","63,548.79","17,581.77","253,888.50","125,382.00","116,773.46","63,700.89","","113,351.05","61,968.31","56,040.28","60,769.06","43,560.16","116,176.08","61,295.82","46,167.29","65,191.63","87,987.55","99,448.13","60,986.49","","82,306.03","48,381.43","50,980.74","174,189.00","59,642.86","67,741.38","46,619.29","19,864.47","104,612.10","123,759.77","148,251.99","63,613.77","","65,579.35","68,150.00","61,609.87","37,190.43","114,889.91","170,248.18","42,592.01","10,115.69","260,840.64","120,973.74","158,001.34","84,413.81","","87,215.59","66,258.02","67,128.89","71,228.29","83,294.23","145,881.22","66,734.25","9,751.77","213,761.71","174,938.69","176,655.62","84,752.04","","57,304.81","78,217.59","75,179.85","90,199.89","69,234.54","107,622.70","52,143.31","21,971.54"
"3","嘉義縣阿里山鄉","#DIV/0!","69,525.00","30,657.75","65,059.77","71,394.86","#DIV/0!","6,015.00","142,973.00","#DIV/0!","1,163.00","#DIV/0!","","5,058.00","0","91,045.50","38,181.33","64,575.06","61,057.45","536,531.00","#DIV/0!","115,469.50","#DIV/0!","83,218.40","226,113.50","","3,892.00","0","#DIV/0!","26,026.14","43,650.08","78,506.09","233,804.50","2,888.00","88,429.50","#DIV/0!","287,934.00","#DIV/0!","","3,300.00","#DIV/0!","12,863.00","49,497.27","55,193.13","78,286.55","#DIV/0!","2,888.00","172,570.67","#DIV/0!","108,333.00","#DIV/0!","","2,230.00","#DIV/0!","#DIV/0!","151,818.25","86,946.15","","465,339.00","44,343.00","37,253.75","#DIV/0!","40,743.50","16,363.00","44,110.67","#DIV/0!","#DIV/0!","#DIV/0!","144,310.67","57,281.25","","133,337.00","#DIV/0!","43,644.00","#DIV/0!","0","#DIV/0!","24,135.82","540","727","1,143.00","2,991.00","31,235.70","","1,910.00","#DIV/0!","50,128.57","#DIV/0!","1,496.00","#DIV/0!","65,372.25","0","#DIV/0!","115,758.00","28,714.50","40,847.57","","0","152,834.00","75,240.29","#DIV/0!","118,372.50","0","26,855.33","267","#DIV/0!","197,499.50","141,369.00","197,936.29","","21,871.00","221,930.00","50,258.63","#DIV/0!","0","#DIV/0!","402.83","1,096.00","0","215,561.00","105,032.00","87,201.75","","14,686.00","10,565.50","45,168.30","281,114.00","123,522.67","#DIV/0!","20,701.78","#DIV/0!","0","262,748.00","174,308.00","70,462.23","","180,138.00","2,757.00","91,611.70","53,837.00","142,815.00","#DIV/0!","173,448.83","#DIV/0!"
"4","嘉義縣布袋鎮","149,025.33","104,152.29","75,369.31","38,149.03","69,455.37","98,760.17","29,162.40","69,447.48","4,886.80","139,747.62","41,755.00","","8,054.56","5,529.00","69,434.57","114,008.51","44,564.83","43,025.58","68,820.33","71,954.67","45,504.38","148,253.50","56,428.44","10,111.43","","65,242.55","94,904.00","70,953.50","133,083.00","43,978.54","48,098.10","69,679.53","51,654.08","63,382.87","177,009.67","77,998.05","29,129.82","","45,399.00","163,020.50","140,893.67","80,076.98","42,386.35","73,114.12","80,517.82","98,658.31","61,126.72","177,374.00","66,795.67","84,344.55","","37,700.25","123,954.67","58,265.27","139,031.86","47,195.11","","96,838.25","82,327.00","68,719.19","79,124.67","117,558.59","100,538.42","58,783.94","6,022.18","305,244.67","81,417.88","206,176.51","35,867.87","","104,488.04","43,858.00","55,511.16","71,571.60","97,090.75","164,400.38","65,192.82","4,263.89","285,714.00","59,639.83","146,502.06","43,970.81","","106,865.04","17,972.82","53,586.96","126,356.14","140,412.00","71,936.50","61,780.57","53,079.60","308,469.00","94,866.14","140,246.38","47,698.31","","59,308.29","29,896.27","49,734.81","80,733.25","98,668.42","9,561.00","50,295.97","42,647.73","326,107.00","145,059.00","105,901.32","36,207.85","","59,623.56","66,059.55","47,846.36","73,693.20","34,462.74","30,193.57","48,653.16","92,874.36","121,529.00","128,265.54","168,297.77","51,600.69","","94,149.45","33,818.63","70,445.59","117,210.00","49,077.40","80,010.45","57,429.49","27,106.23","235,624.67","101,200.46","132,822.19","42,542.77","","61,667.72","58,698.07","53,257.71","72,442.71","36,836.68","46,786.55","33,728.95","56,531.64"
"5","嘉義縣大埔鄉","#DIV/0!","#DIV/0!","4,279.00","67,610.14","19,931.00","147,611.50","23,170.67","81,776.33","64,352.50","8,549.00","687,005.00","","4,516.50","#DIV/0!","#DIV/0!","49,743.43","34,229.86","74,268.50","44,230.50","6,509.00","63,794.50","27,010.50","677,971.00","#DIV/0!","","5,058.67","#DIV/0!","#DIV/0!","99,988.00","109,166.40","21,968.50","381,361.00","6,974.50","36,907.00","#DIV/0!","17,387.00","#DIV/0!","","3,637.00","#DIV/0!","#DIV/0!","104,577.00","57,313.57","2,328.00","205,038.00","30,525.50","697.5","4,034.50","14,065.00","0","","10,233.00","#DIV/0!","#DIV/0!","370,548.50","99,577.29","","41,961.00","4,656.50","194,454.50","4,037.50","26,560.00","#DIV/0!","158,412.29","4,736.50","#DIV/0!","#DIV/0!","128,035.50","68,475.90","","109,581.50","#DIV/0!","20,536.50","2,995.00","15,849.00","137,987.00","76,568.42","622","567,188.50","#DIV/0!","345,738.50","115,608.88","","35,485.67","39,125.00","437,146.00","29,434.00","147,690.00","2,289.50","77,098.80","60,372.50","#DIV/0!","#DIV/0!","2,342.00","118,702.50","","309,603.20","31,269.00","#DIV/0!","223,239.50","76,496.00","#DIV/0!","5,669.89","63,243.67","#DIV/0!","#DIV/0!","255,807.50","63,136.40","","258,446.33","30,169.33","#DIV/0!","1,648.00","22,429.00","#DIV/0!","66,820.50","15,167.33","#DIV/0!","#DIV/0!","162,626.25","52,714.29","","294,802.00","10,469.33","40,251.50","7,811.00","370","#DIV/0!","40,932.92","3,483.67","41,990.00","126,453.00","55,205.63","34,122.13","","70,658.00","8,182.00","103,715.00","19,227.00","#DIV/0!","30,707.00","42,013.60","3,300.50"
"6","嘉義縣大林鎮","299,183.00","77,946.30","158,039.68","51,863.59","89,487.98","94,957.50","27,099.60","78,215.41","53,550.29","56,323.48","175,084.00","","21,446.10","216,349.50","125,953.64","148,015.08","53,658.91","73,356.97","78,796.07","35,479.81","86,690.91","82,346.67","110,336.68","113,231.00","","36,427.43","341,687.50","64,218.27","113,830.58","51,624.52","73,860.83","140,884.36","31,609.58","139,674.52","161,855.00","63,572.00","63,769.25","","27,732.50","272,768.20","43,869.33","76,186.93","47,140.10","67,570.51","121,882.27","37,376.62","71,076.41","178,172.25","19,233.12","239,149.67","","31,214.53","347,480.00","142,421.70","105,064.42","62,902.71","","126,035.38","63,045.44","66,609.78","127,655.50","20,757.86","95,327.00","78,494.18","21,359.59","186,090.57","142,351.58","139,438.59","52,144.78","","115,517.00","56,296.31","69,156.33","107,829.40","98,285.38","156,148.33","55,803.76","5,991.93","261,440.75","181,092.64","104,184.61","58,221.30","","125,907.64","75,335.44","46,783.77","162,949.00","39,340.00","107,614.75","47,635.14","6,632.79","446,561.00","89,965.56","102,538.97","68,539.73","","106,113.94","54,557.03","62,561.46","43,991.33","58,520.67","164,867.00","54,654.94","34,585.88","397,721.67","83,603.71","122,005.73","71,675.68","","73,071.53","85,971.35","67,970.71","150,378.33","7,770.06","14,431.25","67,757.13","71,005.64","226,499.91","242,478.41","137,396.34","73,637.42","","126,448.09","113,955.98","62,133.08","292,776.17","66,483.04","175,443.13","88,163.02","25,224.00","392,128.50","278,718.06","171,599.71","67,249.39","","171,501.55","44,626.90","58,054.52","111,522.33","128,120.00","225,668.13","70,131.13","18,536.25"
"7","嘉義縣東石鄉","344,895.50","24,974.33","72,624.79","53,361.98","74,943.29","45,499.09","33,076.20","73,931.67","77,406.40","64,999.19","16,224.67","","26,949.74","104,860.25","132,779.85","69,391.15","49,474.69","78,390.81","196,751.60","13,547.70","45,301.00","154,445.57","93,183.73","25,765.40","","6,691.85","130,478.33","38,043.17","102,633.25","66,452.36","61,727.99","100,987.32","43,765.78","29,968.08","50,139.63","46,006.54","32,723.75","","35,355.15","49,387.00","53,064.20","87,468.90","46,450.16","53,122.20","51,070.67","38,770.18","39,949.38","79,499.00","51,326.13","61,657.23","","12,748.18","74,589.00","62,889.47","100,896.25","45,813.48","","102,419.50","51,070.93","44,507.98","294,006.83","88,979.63","18,760.83","45,072.35","28,890.62","88,932.60","156,269.30","115,943.49","60,699.57","","62,038.25","102,783.85","77,321.34","194,529.22","71,944.58","68,434.00","53,952.25","13,994.43","21,165.33","61,794.60","126,497.13","64,526.00","","89,067.30","59,297.94","53,988.07","196,571.17","72,715.40","49,024.36","59,107.97","45,614.33","30,072.86","275,333.40","152,450.25","35,896.20","","61,671.55","46,190.95","66,790.08","94,182.33","65,264.57","596","43,980.48","28,773.38","47,059.00","204,068.57","140,267.95","42,945.27","","86,450.86","28,452.11","70,781.00","14,264.33","88,676.95","45,837.50","49,152.85","6,461.87","49,292.83","179,693.94","136,278.85","69,494.56","","93,905.95","34,582.76","62,281.96","76,530.00","57,487.33","140,469.40","55,494.40","17,253.79","89,449.17","194,025.19","114,657.76","56,660.25","","99,562.31","94,680.86","47,616.55","195,159.60","85,877.67","90,409.11","55,925.21","5,561.53"
"8","嘉義縣番路鄉","216,116.75","267,723.67","87,938.30","108,242.38","90,519.67","180,457.38","37,494.25","181,242.00","#DIV/0!","7,531.33","10,222.00","","28,784.00","192,052.25","53,214.67","61,647.58","39,260.95","52,936.06","123,008.40","33,562.50","107,469.33","5,880.00","63,795.67","#DIV/0!","","8,239.57","2,623.00","68,204.50","73,320.33","50,185.69","74,499.00","106,304.33","78,465.00","105,008.00","0","7,141.00","862","","15,584.00","39,593.20","66,651.00","60,927.87","52,461.78","65,306.65","74,592.33","30,819.17","55,392.63","0","96,511.80","11,264.33","","6,539.00","26,864.00","454,577.50","78,304.89","62,225.06","","105,166.73","36,921.17","20,358.20","#DIV/0!","23,740.40","0","49,272.00","4,626.20","#DIV/0!","#DIV/0!","130,704.42","96,134.00","","49,344.82","47,202.50","19,909.50","#DIV/0!","2,006.67","0","54,430.43","4,674.60","297,333.00","48,846.00","87,500.46","38,645.37","","89,368.20","51,995.00","74,396.82","#DIV/0!","1,701.67","2,206.50","55,541.04","5,936.00","523,128.00","126,588.33","98,362.00","48,239.73","","101,542.50","48,129.00","36,222.92","554,782.00","98,897.50","0","34,513.41","9,404.71","0","51,780.20","98,301.69","79,681.65","","46,947.00","41,034.80","72,033.16","67,159.67","129,444.38","#DIV/0!","25,036.27","3,905.17","#DIV/0!","122,822.83","219,639.13","170,997.04","","61,954.81","25,366.17","51,848.76","85,341.67","38,468.43","435,879.00","64,027.21","0","60,031.50","83,177.33","201,280.00","73,893.21","","151,396.17","136,458.14","30,996.00","16,741.00","75,822.67","127,672.50","81,089.87","56,327.75"
"9","嘉義縣六腳鄉","0","49,583.82","90,086.50","28,129.70","59,279.79","17,452.31","109,332.71","57,561.14","3,587.00","68,782.86","151,217.00","","17,911.37","382,064.00","73,176.11","97,098.43","31,848.60","66,390.08","20,282.05","117,087.78","25,937.47","70,806.50","33,829.14","92,273.67","","33,407.50","203,582.00","46,642.29","128,672.91","32,851.20","48,425.33","102,419.06","42,329.00","56,789.80","90,994.00","57,839.26","98,689.83","","21,809.30","544,863.40","62,012.29","123,159.05","59,843.84","57,507.33","45,431.21","198,554.00","66,280.43","124,641.67","78,752.83","66,068.00","","48,980.92","38,861.00","70,707.28","123,588.86","57,538.65","","77,009.94","149,954.40","39,329.00","20,784.00","69,651.14","57,472.29","48,414.35","37,880.26","147,022.00","23,006.17","105,615.90","48,735.30","","74,786.71","65,000.50","73,007.24","275,766.50","46,995.17","52,500.20","71,528.48","31,850.24","115,811.60","206,995.60","163,214.65","54,639.54","","116,950.76","81,229.13","33,508.90","41,442.33","71,170.23","120,828.40","46,432.17","117,607.14","38,134.00","101,656.46","158,065.24","37,375.85","","76,380.75","39,024.50","34,554.63","63,092.25","49,420.76","0","55,163.94","40,180.85","443,550.33","187,872.00","99,933.79","44,926.94","","32,465.58","55,294.37","46,050.03","32,074.20","57,123.24","126,649.00","45,761.03","9,672.82","237,731.56","181,980.13","119,885.46","85,837.27","","57,325.27","33,353.26","69,430.21","32,396.40","55,463.88","56,647.78","47,721.40","41,662.43","550,596.29","79,840.78","112,429.13","59,608.52","","96,206.37","59,374.39","81,253.50","98,715.00","128,051.77","28,279.55","51,619.64","12,257.18"
"10","嘉義縣鹿草鄉","166,843.40","117,231.42","97,075.83","33,755.26","62,078.82","59,009.89","37,478.67","68,464.29","81.67","27,902.25","38,681.67","","11,983.79","106,705.00","67,655.50","76,506.93","59,573.19","60,323.66","101,787.85","43,827.67","72,031.16","694.33","92,424.56","55,340.83","","56,278.79","379,773.00","126,237.00","71,698.13","43,309.74","56,264.73","72,550.71","68,284.50","58,798.79","739,240.00","29,951.38","1,808.57","","36,543.71","478,483.33","35,267.33","119,751.52","57,684.34","57,185.38","156,341.23","32,185.38","58,985.78","5,101.00","50,652.00","114,319.33","","43,098.94","252,582.67","29,051.25","149,866.39","49,018.81","","111,706.42","39,391.43","53,907.79","5,704.00","55,339.69","86,005.75","50,455.56","9,356.55","7,636.75","148,693.25","160,443.11","81,693.61","","136,885.83","54,739.40","32,178.42","3,255.80","35,447.18","28,049.40","37,823.97","38,922.71","250,826.50","106,628.83","190,332.16","52,350.38","","40,262.71","84,246.31","43,883.19","154,472.20","21,748.59","79,561.75","59,729.44","48,123.68","179,265.80","119,674.25","150,695.22","39,878.57","","43,295.31","38,391.50","39,270.68","77,502.00","27,529.27","2,997.40","42,351.73","58,775.69","74,756.00","55,377.40","163,838.18","59,296.74","","90,525.94","116,730.65","36,298.09","60,583.33","7,016.86","325.5","49,519.44","11,202.20","51,747.00","55,070.33","238,022.63","72,892.23","","78,623.54","82,267.72","65,630.04","217,687.75","60,500.92","18,955.00","44,774.81","8,187.70","67,501.40","113,361.60","157,417.19","80,046.33","","162,465.65","88,071.12","58,371.47","678,896.67","92,554.36","23,061.71","47,211.24","9,910.50"
"11","嘉義縣梅山鄉","53,040.00","56,417.00","97,311.38","75,647.97","91,637.77","54,865.71","14,711.60","73,653.06","3,263.00","78,028.92","2,146.50","","28,554.42","#DIV/0!","47,912.71","70,851.00","84,816.52","79,903.42","123,168.43","20,263.33","58,187.72","10,599.67","19,080.71","123,685.00","","26,061.53","0","60,711.50","45,618.72","27,191.24","58,840.75","213,374.10","24,905.38","73,159.88","161,537.80","8,148.13","0","","52,584.28","#DIV/0!","148,090.14","127,016.36","40,243.09","66,894.14","157,054.36","57,515.11","72,716.73","57,826.25","30,941.83","46,730.75","","47,605.25","254,706.00","139,387.75","154,827.21","79,183.13","","251,562.70","46,664.11","43,645.45","99,194.67","109,947.80","165,499.50","84,845.31","18,870.19","444,725.33","93,554.55","107,685.46","56,192.93","","134,972.33","54,537.33","64,771.00","386,048.20","62,376.14","41,679.67","47,662.78","6,783.38","359,723.00","60,156.78","162,268.83","96,008.85","","57,884.46","62,124.25","22,538.24","30,020.80","27,965.00","205,486.00","88,260.75","33,607.08","549,712.00","114,967.00","27,966.32","29,805.68","","17,376.50","72,450.06","48,122.10","32,918.50","97,457.50","0","72,975.87","19,347.33","418,395.50","129,734.50","94,432.04","62,683.54","","39,853.40","67,175.23","97,467.21","72,289.00","141,563.67","0","35,893.39","27,052.40","314,264.20","257,137.78","147,802.77","47,657.77","","84,101.33","74,491.92","56,690.11","83,726.25","31,660.80","0","50,939.21","7,614.08","526,414.78","279,349.64","167,791.54","75,481.12","","76,107.00","39,046.72","70,701.74","62,185.50","130,255.17","72,881.00","50,837.24","8,151.89"
"12","嘉義縣民雄鄉","203,074.33","120,688.71","107,650.19","59,109.17","67,646.70","19,954.84","75,925.68","44,242.04","146,957.50","138,822.18","78,754.00","","33,996.56","276,111.60","99,055.55","172,654.87","57,088.93","69,250.04","106,011.37","34,700.58","83,035.19","192,042.25","56,927.91","103,268.31","","21,227.06","53,374.00","130,656.50","153,877.46","68,826.94","65,814.78","72,298.75","54,455.70","89,713.57","29,940.50","69,365.22","57,715.63","","46,259.71","130,170.56","91,732.18","102,342.53","75,268.41","61,218.95","99,795.00","55,434.34","74,481.34","22,476.67","48,127.21","106,560.40","","37,147.14","182,843.20","192,756.85","69,767.91","88,808.86","","124,430.00","35,442.77","60,070.48","82,472.44","73,020.87","106,053.30","55,939.26","16,387.64","159,274.43","90,174.33","66,814.96","80,487.78","","144,936.89","72,502.25","56,451.70","150,519.57","74,400.26","138,168.86","61,515.59","14,796.85","199,336.14","221,119.24","69,325.81","69,697.15","","89,778.82","61,549.52","44,334.56","121,467.43","88,298.94","121,446.11","62,241.81","25,449.34","228,566.25","131,558.05","161,579.10","60,490.39","","55,608.20","52,408.34","63,562.67","68,755.67","93,528.00","39,621.29","71,091.19","52,215.90","326,048.20","123,859.27","127,926.33","68,952.12","","128,734.58","66,284.72","61,655.74","153,155.00","55,354.92","7,465.33","64,345.83","37,885.45","259,115.00","106,456.25","132,694.12","95,937.11","","124,483.07","59,244.89","50,063.15","158,502.90","55,720.00","103,177.25","59,492.08","16,098.12","284,885.75","164,130.07","178,192.91","100,987.17","","112,543.51","78,868.09","61,917.07","52,780.78","94,557.17","56,152.33","55,446.87","44,651.86"
"13","嘉義縣朴子市","69,851.60","48,917.29","61,850.10","32,551.03","35,001.81","65,368.75","62,968.16","30,313.88","102,583.00","59,440.54","53,154.00","","22,823.44","362,626.00","29,860.10","113,058.09","43,495.10","34,097.19","48,098.57","64,570.83","35,031.10","#DIV/0!","95,511.83","64,386.67","","22,023.47","252,236.67","159,997.38","117,455.24","62,185.72","50,527.74","111,241.75","69,528.74","53,421.03","0","63,452.48","100,476.40","","53,636.06","172,061.33","48,338.78","113,217.76","68,519.36","33,990.47","53,955.42","54,431.04","71,598.75","1,361.33","50,143.80","44,910.29","","22,771.89","202,562.75","58,177.33","136,786.31","48,271.04","","104,556.29","87,981.68","51,867.14","249,611.50","80,570.66","141,093.60","80,563.51","14,890.29","202,709.20","62,199.50","179,628.73","37,322.06","","89,370.17","63,637.28","69,714.05","0","43,213.33","21,107.75","58,780.70","25,944.73","620,948.00","61,709.75","165,109.75","47,238.63","","86,490.76","73,351.16","60,766.05","163,015.67","120,163.56","18,225.50","62,845.59","54,277.53","779,536.50","141,882.00","133,481.18","35,773.36","","90,417.96","40,941.76","62,509.91","7,935.50","78,466.88","53,832.40","47,129.19","12,126.63","421,445.50","92,875.69","114,940.09","34,904.40","","91,151.12","23,836.74","62,989.14","56,383.33","47,092.86","441","45,840.33","21,143.83","219,092.43","119,799.13","163,025.02","52,681.76","","64,494.61","22,201.08","71,375.17","115,846.63","96,044.67","12,062.00","48,355.11","57,582.25","557,550.50","167,091.96","132,842.62","58,225.18","","121,861.86","45,032.91","61,955.97","72,550.56","52,548.97","63,099.46","44,742.02","58,400.92"
"14","嘉義縣水上鄉","132,423.00","82,057.27","66,184.78","68,721.06","50,337.59","213,157.17","62,055.24","82,387.47","44,236.43","165,391.05","116,698.14","","17,010.13","542,099.33","96,323.50","93,992.30","38,408.40","47,861.08","79,260.50","26,629.07","61,262.26","280,033.80","66,605.14","68,275.38","","27,325.44","190,344.40","124,477.28","90,891.59","47,882.67","44,390.73","197,975.87","42,255.50","61,482.25","266,916.00","88,822.76","27,016.09","","5,745.32","162,801.00","171,559.21","143,756.00","49,979.70","46,209.15","58,227.83","44,708.33","63,715.75","91,302.00","57,117.68","40,733.63","","37,773.86","43,346.00","83,097.47","130,055.06","36,930.83","","139,421.90","32,102.62","76,136.41","138,767.33","35,999.48","63,984.00","46,571.90","3,562.65","20,444.00","148,956.93","130,034.10","53,887.68","","103,513.08","62,433.48","80,411.81","118,071.00","104,746.44","72,079.00","61,266.02","2,913.27","96,780.00","66,708.57","108,671.25","82,628.67","","106,230.80","71,464.46","75,439.94","42,345.67","89,497.54","187,519.00","55,524.97","42,714.73","164,578.67","82,796.92","150,046.76","59,852.44","","80,726.88","30,732.30","105,479.91","122,603.50","89,626.29","1,468.50","50,950.53","3,804.17","353,021.00","27,258.60","86,555.29","87,031.09","","122,751.50","43,429.88","62,129.62","90,773.75","75,527.78","19,854.40","37,470.96","6,940.50","123,035.40","91,488.09","145,889.78","102,582.60","","46,013.90","54,143.02","99,037.35","151,289.56","87,772.19","140,871.88","53,598.42","3,454.64","505,119.38","137,662.11","179,053.82","70,783.52","","88,878.11","47,193.64","69,621.84","74,163.00","133,576.05","157,466.25","62,260.74","7,604.21"
"15","嘉義縣太保市","11,561.75","95,033.33","99,186.91","41,265.24","59,836.19","103,173.67","156,155.33","46,656.80","405,138.60","45,493.50","76,196.67","","24,408.73","87,203.80","0","98,809.36","46,814.22","75,615.13","102,437.56","64,307.50","143,742.50","6,096.40","34,579.54","118,977.83","","5,721.45","213,826.83","341,574.50","149,519.38","56,615.88","39,352.72","91,221.80","84,926.78","35,822.95","27,934.00","50,390.83","146,366.00","","6,216.38","102,774.00","93,051.86","82,038.36","51,979.11","36,248.58","118,358.46","75,221.08","54,483.95","213,908.33","43,312.93","110,784.25","","4,852.36","20,112.00","11,737.00","193,539.24","63,457.75","","67,196.53","51,059.80","39,635.85","63,207.50","37,539.69","42,312.43","61,663.37","40,881.55","40,648.75","56,236.86","108,174.00","91,156.46","","201,737.81","38,928.83","56,147.57","120,086.25","43,740.33","149,285.25","43,170.87","37,686.78","93,351.33","50,120.36","159,335.13","55,106.64","","100,692.90","46,653.00","51,508.23","23,911.00","67,976.06","143,400.50","58,576.14","10,016.80","25,549.00","107,176.54","164,356.00","76,289.95","","135,329.11","68,966.90","67,929.59","23,757.50","47,174.73","86,845.00","37,010.72","54,883.50","22,384.00","123,387.20","221,362.50","68,282.35","","111,948.75","56,161.38","38,168.55","13,679.33","41,791.95","30,927.00","34,536.46","15,065.29","116,502.80","195,603.79","157,846.44","59,847.69","","126,033.72","67,179.20","66,704.66","42,584.60","82,755.05","56,615.67","52,791.83","91,239.38","240,269.40","152,196.47","132,129.58","74,137.41","","74,536.20","123,547.93","67,919.06","62,125.13","76,229.09","95,101.50","49,614.45","10,569.40"
